,document,query
TF,RawTF,RawTF
IDF,NoIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.08333333333333333
2,0.03389830508474576,1.0,0.55
3,0.0851063829787234,1.0,0.5845238095238094
4,0.018518518518518517,0.5,0.25
5,0.046153846153846156,1.0,0.7777777777777778
6,0.058823529411764705,0.5,0.029411764705882353
7,0.0547945205479452,1.0,0.11476648351648351
8,0.01639344262295082,1.0,0.022727272727272728
9,0.03125,1.0,0.026494565217391304
10,0.07352941176470588,1.0,0.1288178198108512
11,0.05172413793103448,0.75,0.07642309797482211
12,0.16,0.8,0.5815384615384616
13,0.09523809523809523,1.0,0.3025381263616558
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.2502739140034222
16,0.045454545454545456,1.0,0.38359543632439097
17,0.03125,1.0,0.05689102564102564
18,0.15,1.0,0.7380952380952381
19,0.11428571428571428,0.8,0.37333333333333335
20,0.03571428571428571,0.6666666666666666,0.023839931885908897
21,0.1111111111111111,1.0,0.7709090909090909
22,0.10416666666666667,0.8333333333333334,0.13281490015360983
23,0.015625,1.0,0.09090909090909091
24,0.19148936170212766,1.0,0.8839624881291548
25,0.05263157894736842,1.0,0.49166666666666664
26,0.017543859649122806,1.0,0.1
27,0.4090909090909091,0.8181818181818182,0.3887621232680169
28,0.05357142857142857,0.75,0.06149008828918874
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.20519179894179895
31,0.14814814814814814,0.7272727272727273,0.11792953412047559
32,0.045454545454545456,1.0,0.2159090909090909
33,0.0625,1.0,0.08082482993197278
34,0.08823529411764706,0.5,0.06316137566137565
35,0.14893617021276595,0.875,0.2130772986071899
