,document,query
TF,RawTF,RawTF
IDF,UseIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,NoStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.0,0.0,0.0
2,0.125,1.0,0.26666666666666666
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.07692307692307693,1.0,0.14497574497574497
6,0.14285714285714285,1.0,0.17142857142857143
7,0.06779661016949153,1.0,0.10261437908496733
8,0.0,0.0,0.0
9,0.047619047619047616,0.5,0.03125
10,0.16666666666666666,0.8,0.36502164502164497
11,0.0,0.0,0.0
12,0.13636363636363635,0.6,0.16714285714285712
13,0.21739130434782608,0.8333333333333334,0.6381766381766382
14,0.0,0.0,0.0
15,0.11428571428571428,0.6666666666666666,0.21515616999487971
16,0.045454545454545456,0.3333333333333333,0.1111111111111111
17,0.09090909090909091,0.5,0.1
18,0.11764705882352941,0.6666666666666666,0.38095238095238093
19,0.09090909090909091,0.6,0.21000000000000002
20,0.13043478260869565,1.0,0.3269230769230769
21,0.5,1.0,0.788888888888889
22,0.0,0.0,0.0
23,0.034482758620689655,1.0,0.125
24,0.47058823529411764,0.8888888888888888,0.6660696329813978
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.475,0.5757575757575758,0.4033148648938123
28,0.07894736842105263,0.75,0.06765350877192983
29,0.0,0.0,0.0
30,0.16666666666666666,0.1111111111111111,0.1111111111111111
31,0.14285714285714285,0.2727272727272727,0.0581267217630854
32,0.021739130434782608,0.5,0.012195121951219513
33,0.043478260869565216,0.25,0.019230769230769232
34,0.1111111111111111,0.8333333333333334,0.3180704099821747
35,0.16666666666666666,0.125,0.03125
