,document,query
TF,NoTF,NoTF
IDF,UsingIDF,UsingIDF
Normalization,NoNormalization,NoNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.036585365853658534,1.0,0.050229629018507825
2,0.024390243902439025,1.0,0.05575117370892019
3,0.04878048780487805,1.0,0.12829457364341085
4,0.024390243902439025,1.0,0.0331143951833607
5,0.036585365853658534,1.0,0.15674603174603174
6,0.024390243902439025,1.0,0.04076479076479077
7,0.04878048780487805,1.0,0.15574352548036757
8,0.012195121951219513,1.0,0.01639344262295082
9,0.024390243902439025,1.0,0.02219512195121951
10,0.06097560975609756,1.0,0.19756611204887067
11,0.04878048780487805,1.0,0.06471725687516582
12,0.06097560975609756,1.0,0.2296190476190476
13,0.07317073170731707,1.0,0.2523332398332398
14,0.024390243902439025,1.0,0.055303030303030305
15,0.07317073170731707,1.0,0.12967222225617747
16,0.036585365853658534,1.0,0.38855218855218854
17,0.024390243902439025,1.0,0.05397727272727273
18,0.036585365853658534,1.0,0.255026455026455
19,0.06097560975609756,1.0,0.4731643356643357
20,0.036585365853658534,1.0,0.03510208926875594
21,0.06097560975609756,1.0,0.12393677993433194
22,0.07317073170731707,1.0,0.10720813056339372
23,0.012195121951219513,1.0,0.02857142857142857
24,0.10975609756097561,1.0,0.17065376363725704
25,0.036585365853658534,1.0,0.07228672794710529
26,0.012195121951219513,1.0,0.2
27,0.4024390243902439,1.0,0.5370752430124882
28,0.04878048780487805,1.0,0.06334972394755004
29,0.012195121951219513,1.0,0.027777777777777776
30,0.10975609756097561,1.0,0.23443906215939173
31,0.13414634146341464,1.0,0.2931676305688164
32,0.024390243902439025,1.0,0.03024614100959533
33,0.04878048780487805,1.0,0.056375397813753975
34,0.07317073170731707,1.0,0.2528745350712616
35,0.0975609756097561,1.0,0.08626806004087322
