,document,query
TF,RawTF,RawTF
IDF,UsingIDF,UsingIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.05,0.3333333333333333,0.1111111111111111
2,0.043478260869565216,1.0,0.8333333333333333
3,0.11428571428571428,1.0,0.6777777777777778
4,0.018867924528301886,0.5,0.5
5,0.05084745762711865,1.0,0.7000000000000001
6,0.058823529411764705,0.5,0.05
7,0.057971014492753624,1.0,0.44191176470588234
8,0.01818181818181818,1.0,0.05555555555555555
9,0.034482758620689655,1.0,0.05195681511470985
10,0.07936507936507936,1.0,0.12562238930659983
11,0.05555555555555555,0.75,0.05808243727598566
12,0.16,0.8,0.6142857142857142
13,0.1016949152542373,1.0,0.4124338624338624
14,0.0,0.0,0.0
15,0.10344827586206896,1.0,0.42967772967772966
16,0.05172413793103448,1.0,0.3883861236802413
17,0.03508771929824561,1.0,0.14545454545454545
18,0.15,1.0,0.7435897435897436
19,0.11428571428571428,0.8,0.37739938080495355
20,0.03636363636363636,0.6666666666666666,0.03133903133903134
21,0.11627906976744186,1.0,0.8392857142857142
22,0.10638297872340426,0.8333333333333334,0.2676223441309648
23,0.017857142857142856,1.0,0.3333333333333333
24,0.34615384615384615,1.0,0.9765432098765433
25,0.05357142857142857,1.0,0.6858974358974358
26,0.022222222222222223,1.0,0.03571428571428571
27,0.4262295081967213,0.7878787878787878,0.41014876293416425
28,0.061224489795918366,0.75,0.44047619047619047
29,0.0,0.0,0.0
30,0.1276595744680851,0.6666666666666666,0.3099694423223835
31,0.1509433962264151,0.7272727272727273,0.13886706586979686
32,0.045454545454545456,1.0,0.6666666666666666
33,0.06666666666666667,1.0,0.18339646464646464
34,0.08823529411764706,0.5,0.044193061840120666
35,0.175,0.875,0.36703630507978324
