,document,query
TF,RawTF,RawTF
IDF,UsingIDF,UsingIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.08333333333333333,1.0,0.2507936507936508
2,0.03278688524590164,1.0,0.29166666666666663
3,0.1,1.0,0.7928571428571429
4,0.018867924528301886,0.5,0.5
5,0.04411764705882353,1.0,0.611111111111111
6,0.05128205128205128,1.0,0.09722222222222221
7,0.05405405405405406,1.0,0.29583333333333334
8,0.014925373134328358,1.0,1.0
9,0.03333333333333333,1.0,0.04836829836829837
10,0.07462686567164178,1.0,0.3348968105065666
11,0.05263157894736842,0.75,0.05182784547575836
12,0.14705882352941177,1.0,0.5727272727272728
13,0.09230769230769231,1.0,0.49894179894179885
14,0.0,0.0,0.0
15,0.09375,1.0,0.299017649017649
16,0.04477611940298507,1.0,0.18678340629560142
17,0.03389830508474576,1.0,0.11490683229813664
18,0.1111111111111111,1.0,0.7222222222222222
19,0.08163265306122448,0.8,0.3512254901960784
20,0.046153846153846156,1.0,0.75
21,0.10869565217391304,1.0,0.7742424242424242
22,0.10204081632653061,0.8333333333333334,0.3889492753623189
23,0.013513513513513514,1.0,1.0
24,0.21951219512195122,1.0,0.9278138528138528
25,0.046875,1.0,0.6830601092896175
26,0.016129032258064516,1.0,0.02564102564102564
27,0.4225352112676056,0.9090909090909091,0.5540127090815717
28,0.046875,0.75,0.10863095238095238
29,0.02,1.0,0.125
30,0.11764705882352941,0.6666666666666666,0.23514399312271653
31,0.13846153846153847,0.8181818181818182,0.12772728506724718
32,0.030303030303030304,1.0,0.8333333333333333
33,0.05970149253731343,1.0,0.15323232323232322
34,0.08333333333333333,0.8333333333333334,0.1316271447850395
35,0.1702127659574468,1.0,0.3260869159576055
