,document,query
TF,BinaryTF,BinaryTF
IDF,NoIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.023809523809523808
2,0.03389830508474576,1.0,0.5833333333333334
3,0.0851063829787234,1.0,0.47632575757575757
4,0.018518518518518517,0.5,0.1
5,0.046153846153846156,1.0,0.7291666666666666
6,0.058823529411764705,0.5,0.03125
7,0.0547945205479452,1.0,0.1821813452248235
8,0.01639344262295082,1.0,0.018867924528301886
9,0.03125,1.0,0.03485576923076923
10,0.07352941176470588,1.0,0.331140839836492
11,0.05172413793103448,0.75,0.03855603448275862
12,0.16,0.8,0.5976190476190476
13,0.09523809523809523,1.0,0.389914520962908
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.26392439951761987
16,0.045454545454545456,1.0,0.38132183908045975
17,0.03125,1.0,0.06285178236397748
18,0.15,1.0,0.7916666666666666
19,0.11428571428571428,0.8,0.319047619047619
20,0.03571428571428571,0.6666666666666666,0.059964726631393295
21,0.1111111111111111,1.0,0.663888888888889
22,0.10416666666666667,0.8333333333333334,0.19260799260799258
23,0.015625,1.0,0.1
24,0.19148936170212766,1.0,0.8266585266585268
25,0.05263157894736842,1.0,0.26430976430976433
26,0.017543859649122806,1.0,0.07692307692307693
27,0.4090909090909091,0.8181818181818182,0.48155088300216703
28,0.05357142857142857,0.75,0.2140151515151515
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.3441275500099029
31,0.14814814814814814,0.7272727272727273,0.15397757483886532
32,0.045454545454545456,1.0,0.41666666666666663
33,0.0625,1.0,0.0875287356321839
34,0.08823529411764706,0.5,0.07326007326007326
35,0.14893617021276595,0.875,0.26846559917801
