,document,query
TF,BinaryTF,BinaryTF
IDF,NoIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06382978723404255,1.0,0.11698283649503162
2,0.030303030303030304,1.0,0.24358974358974358
3,0.08333333333333333,1.0,0.4694444444444444
4,0.018518518518518517,0.5,0.25
5,0.039473684210526314,1.0,0.5925925925925926
6,0.047619047619047616,1.0,0.10818713450292397
7,0.05128205128205128,1.0,0.13643483709273183
8,0.014705882352941176,1.0,0.02564102564102564
9,0.029411764705882353,1.0,0.040015243902439025
10,0.07042253521126761,1.0,0.25916305916305915
11,0.05084745762711865,0.75,0.03661296330787856
12,0.14705882352941177,1.0,0.46858648597779035
13,0.08695652173913043,1.0,0.5283040935672515
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.32612805933701455
16,0.03896103896103896,1.0,0.12278911564625851
17,0.03076923076923077,1.0,0.05952380952380952
18,0.1111111111111111,1.0,0.7575757575757575
19,0.07692307692307693,0.8,0.3727272727272727
20,0.046153846153846156,1.0,0.3907203907203907
21,0.10869565217391304,1.0,0.40714285714285714
22,0.1,0.8333333333333334,0.362703634085213
23,0.01282051282051282,1.0,0.1111111111111111
24,0.16666666666666666,1.0,0.6966949172831525
25,0.046153846153846156,1.0,0.18903318903318903
26,0.014285714285714285,1.0,0.03571428571428571
27,0.40540540540540543,0.9090909090909091,0.6257927081768421
28,0.04477611940298507,0.75,0.13530701754385965
29,0.02,1.0,0.04
30,0.11538461538461539,0.6666666666666666,0.3685459468068164
31,0.13636363636363635,0.8181818181818182,0.1986171299239481
32,0.030303030303030304,1.0,0.8333333333333333
33,0.05714285714285714,1.0,0.11241883116883117
34,0.08333333333333333,0.8333333333333334,0.13582199640016596
35,0.1568627450980392,1.0,0.24248849057658425
