,document,query
TF,BinaryTF,BinaryTF
IDF,NoIDF,NoIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.027777777777777776
2,0.03389830508474576,1.0,0.5909090909090909
3,0.0851063829787234,1.0,0.5333333333333333
4,0.018518518518518517,0.5,0.16666666666666666
5,0.046153846153846156,1.0,0.49999999999999994
6,0.058823529411764705,0.5,0.05
7,0.0547945205479452,1.0,0.1524960558936218
8,0.01639344262295082,1.0,0.02702702702702703
9,0.03125,1.0,0.04487179487179487
10,0.07352941176470588,1.0,0.18951744772640294
11,0.05172413793103448,0.75,0.050555555555555555
12,0.16,0.8,0.5422222222222223
13,0.09523809523809523,1.0,0.34069907411838146
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.15138888888888888
16,0.045454545454545456,1.0,0.08912607188469257
17,0.03125,1.0,0.05389610389610389
18,0.15,1.0,0.8095238095238094
19,0.11428571428571428,0.8,0.1960839160839161
20,0.03571428571428571,0.6666666666666666,0.09333333333333334
21,0.1111111111111111,1.0,0.5587301587301587
22,0.10416666666666667,0.8333333333333334,0.24666769452153356
23,0.015625,1.0,0.06666666666666667
24,0.19148936170212766,1.0,0.9575757575757575
25,0.05263157894736842,1.0,0.5878136200716845
26,0.017543859649122806,1.0,0.034482758620689655
27,0.4090909090909091,0.8181818181818182,0.44012717836984533
28,0.05357142857142857,0.75,0.26666666666666666
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.3339719029374202
31,0.14814814814814814,0.7272727272727273,0.1526693647014503
32,0.045454545454545456,1.0,1.0
33,0.0625,1.0,0.14583333333333331
34,0.08823529411764706,0.5,0.03375350140056022
35,0.14893617021276595,0.875,0.3829807813039521
