,document,query
TF,BinaryTF,BinaryTF
IDF,UsingIDF,UsingIDF
Normalization,NoNormalization,NoNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.03333333333333333
2,0.03389830508474576,1.0,0.8333333333333333
3,0.0851063829787234,1.0,0.30412087912087915
4,0.018518518518518517,0.5,0.5
5,0.046153846153846156,1.0,0.24206349206349206
6,0.058823529411764705,0.5,0.125
7,0.0547945205479452,1.0,0.3783008658008658
8,0.01639344262295082,1.0,0.038461538461538464
9,0.03125,1.0,0.2976190476190476
10,0.07352941176470588,1.0,0.1546969696969697
11,0.05172413793103448,0.75,0.04978415915915916
12,0.16,0.8,0.44571428571428573
13,0.09523809523809523,1.0,0.5
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.42438994178124606
16,0.045454545454545456,1.0,0.39673913043478265
17,0.03125,1.0,0.06777777777777777
18,0.15,1.0,0.7575757575757575
19,0.11428571428571428,0.8,0.45
20,0.03571428571428571,0.6666666666666666,0.045238095238095244
21,0.1111111111111111,1.0,0.41571428571428565
22,0.10416666666666667,0.8333333333333334,0.2888814616755793
23,0.015625,1.0,1.0
24,0.19148936170212766,1.0,0.857704024370691
25,0.05263157894736842,1.0,0.6944444444444445
26,0.017543859649122806,1.0,0.041666666666666664
27,0.4090909090909091,0.8181818181818182,0.4809445775929261
28,0.05357142857142857,0.75,0.47435897435897434
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.42492906985660606
31,0.14814814814814814,0.7272727272727273,0.12026712587353318
32,0.045454545454545456,1.0,0.39285714285714285
33,0.0625,1.0,0.675
34,0.08823529411764706,0.5,0.10138888888888888
35,0.14893617021276595,0.875,0.32930305138543126
