,document,query
TF,BinaryTF,BinaryTF
IDF,UsingIDF,UsingIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.03333333333333333
2,0.07692307692307693,1.0,0.6428571428571428
3,0.23529411764705882,1.0,0.4009615384615384
4,0.03333333333333333,0.5,0.5
5,0.07317073170731707,1.0,0.24206349206349206
6,0.058823529411764705,0.5,0.125
7,0.057692307692307696,0.75,0.405
8,0.034482758620689655,1.0,0.05
9,0.05714285714285714,1.0,0.2976190476190476
10,0.09523809523809523,0.8,0.12153439153439154
11,0.08108108108108109,0.75,0.053955453149001534
12,0.16,0.8,0.5
13,0.17647058823529413,1.0,0.5494306418219461
14,0.0,0.0,0.0
15,0.15789473684210525,1.0,0.36974487500803294
16,0.06521739130434782,1.0,0.21607142857142858
17,0.041666666666666664,0.5,0.03571428571428571
18,0.15,1.0,0.7666666666666666
19,0.11428571428571428,0.8,0.2671635610766046
20,0.05,0.3333333333333333,0.041666666666666664
21,0.45454545454545453,1.0,0.43
22,0.3333333333333333,0.3333333333333333,0.16666666666666666
23,0.024390243902439025,1.0,0.5
24,0.5625,1.0,0.8865881032547699
25,0.07692307692307693,0.6666666666666666,0.6666666666666666
26,0.0,0.0,0.0
27,0.5111111111111111,0.696969696969697,0.42730295992327216
28,0.13636363636363635,0.75,0.5104166666666666
29,0.0,0.0,0.0
30,0.3,0.3333333333333333,0.3055555555555556
31,0.10526315789473684,0.18181818181818182,0.028282828282828285
32,0.046511627906976744,1.0,0.8333333333333333
33,0.10256410256410256,1.0,0.787037037037037
34,0.08823529411764706,0.5,0.11655773420479304
35,0.2,0.25,0.25
