,document,query
TF,AugmentedTF,AugmentedTF
IDF,NoIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.05555555555555555
2,0.03389830508474576,1.0,0.8333333333333333
3,0.0851063829787234,1.0,0.601923076923077
4,0.018518518518518517,0.5,0.08333333333333333
5,0.046153846153846156,1.0,0.7000000000000001
6,0.058823529411764705,0.5,0.045454545454545456
7,0.0547945205479452,1.0,0.1704565142065142
8,0.01639344262295082,1.0,0.025
9,0.03125,1.0,0.03210066769388803
10,0.07352941176470588,1.0,0.20701911518608435
11,0.05172413793103448,0.75,0.04874465811965812
12,0.16,0.8,0.6166666666666666
13,0.09523809523809523,1.0,0.3668229918229918
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.20552687689372687
16,0.045454545454545456,1.0,0.09067460317460317
17,0.03125,1.0,0.05505952380952381
18,0.15,1.0,0.7333333333333334
19,0.11428571428571428,0.8,0.266060606060606
20,0.03571428571428571,0.6666666666666666,0.05473856209150327
21,0.1111111111111111,1.0,0.7311111111111112
22,0.10416666666666667,0.8333333333333334,0.20265228598561935
23,0.015625,1.0,0.09090909090909091
24,0.19148936170212766,1.0,0.9626543209876544
25,0.05263157894736842,1.0,0.5181818181818182
26,0.017543859649122806,1.0,0.09090909090909091
27,0.4090909090909091,0.8181818181818182,0.4229334695810061
28,0.05357142857142857,0.75,0.22083333333333333
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.3376327376327376
31,0.14814814814814814,0.7272727272727273,0.12242302242302242
32,0.045454545454545456,1.0,0.5833333333333333
33,0.0625,1.0,0.09202403010698658
34,0.08823529411764706,0.5,0.046218487394957986
35,0.14893617021276595,0.875,0.32153239216774016
