,document,query
TF,AugmentedTF,AugmentedTF
IDF,NoIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06382978723404255,1.0,0.1694139194139194
2,0.030303030303030304,1.0,0.7
3,0.08333333333333333,1.0,0.6678571428571429
4,0.018518518518518517,0.5,0.25
5,0.039473684210526314,1.0,0.5158730158730158
6,0.047619047619047616,1.0,0.08496732026143791
7,0.05128205128205128,1.0,0.13422906602254428
8,0.014705882352941176,1.0,0.05555555555555555
9,0.029411764705882353,1.0,0.040625
10,0.07042253521126761,1.0,0.2589132882882883
11,0.05084745762711865,0.75,0.04811507936507937
12,0.14705882352941177,1.0,0.4259485612426788
13,0.08695652173913043,1.0,0.530952380952381
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.22837937422949506
16,0.03896103896103896,1.0,0.07762860828898564
17,0.03076923076923077,1.0,0.06673114119922631
18,0.1111111111111111,1.0,0.7192982456140351
19,0.07692307692307693,0.8,0.27499999999999997
20,0.046153846153846156,1.0,0.4296536796536797
21,0.10869565217391304,1.0,0.5644444444444444
22,0.1,0.8333333333333334,0.35732905982905977
23,0.01282051282051282,1.0,0.3333333333333333
24,0.16666666666666666,1.0,0.8274622980505333
25,0.046153846153846156,1.0,0.1788539144471348
26,0.014285714285714285,1.0,0.038461538461538464
27,0.40540540540540543,0.9090909090909091,0.5937357533895656
28,0.04477611940298507,0.75,0.10694444444444445
29,0.02,1.0,0.03125
30,0.11538461538461539,0.6666666666666666,0.30202020202020197
31,0.13636363636363635,0.8181818181818182,0.16622951049828522
32,0.030303030303030304,1.0,0.8333333333333333
33,0.05714285714285714,1.0,0.11303583803583804
34,0.08333333333333333,0.8333333333333334,0.10483061101028435
35,0.1568627450980392,1.0,0.3014246133235903
