,document,query
TF,AugmentedTF,AugmentedTF
IDF,NoIDF,NoIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06382978723404255,1.0,0.1606837606837607
2,0.030303030303030304,1.0,0.625
3,0.08333333333333333,1.0,0.5845238095238094
4,0.018518518518518517,0.5,0.5
5,0.039473684210526314,1.0,0.5444444444444444
6,0.047619047619047616,1.0,0.08496732026143791
7,0.05128205128205128,1.0,0.17443373901284653
8,0.014705882352941176,1.0,0.058823529411764705
9,0.029411764705882353,1.0,0.04372294372294372
10,0.07042253521126761,1.0,0.17903820816864294
11,0.05084745762711865,0.75,0.052042160737812905
12,0.14705882352941177,1.0,0.4811494252873564
13,0.08695652173913043,1.0,0.4742234373813321
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.22098955658277694
16,0.03896103896103896,1.0,0.0614659869045834
17,0.03076923076923077,1.0,0.05654761904761904
18,0.1111111111111111,1.0,0.7254901960784313
19,0.07692307692307693,0.8,0.22046024151287308
20,0.046153846153846156,1.0,0.4474074074074075
21,0.10869565217391304,1.0,0.5926190476190476
22,0.1,0.8333333333333334,0.31223290598290604
23,0.01282051282051282,1.0,0.3333333333333333
24,0.16666666666666666,1.0,0.8700837742504408
25,0.046153846153846156,1.0,0.5755555555555555
26,0.014285714285714285,1.0,0.027777777777777776
27,0.40540540540540543,0.9090909090909091,0.5411192375560959
28,0.04477611940298507,0.75,0.0881162181471779
29,0.02,1.0,0.03225806451612903
30,0.11538461538461539,0.6666666666666666,0.29238839167103153
31,0.13636363636363635,0.8181818181818182,0.169850623284491
32,0.030303030303030304,1.0,1.0
33,0.05714285714285714,1.0,0.12276785714285714
34,0.08333333333333333,0.8333333333333334,0.1031627802636206
35,0.1568627450980392,1.0,0.3337883141762452
