,document,query
TF,AugmentedTF,AugmentedTF
IDF,UsingIDF,UsingIDF
Normalization,NoNormalization,NoNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.1111111111111111
2,0.03389830508474576,1.0,0.5833333333333333
3,0.0851063829787234,1.0,0.42045454545454547
4,0.018518518518518517,0.5,0.5
5,0.046153846153846156,1.0,0.24206349206349206
6,0.058823529411764705,0.5,0.125
7,0.0547945205479452,1.0,0.35673076923076924
8,0.01639344262295082,1.0,0.058823529411764705
9,0.03125,1.0,0.29545454545454547
10,0.07352941176470588,1.0,0.14579048402577816
11,0.05172413793103448,0.75,0.0585171568627451
12,0.16,0.8,0.5
13,0.09523809523809523,1.0,0.4861111111111111
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.37746512746512745
16,0.045454545454545456,1.0,0.38315217391304346
17,0.03125,1.0,0.08712121212121213
18,0.15,1.0,0.7380952380952381
19,0.11428571428571428,0.8,0.469047619047619
20,0.03571428571428571,0.6666666666666666,0.03663003663003663
21,0.1111111111111111,1.0,0.4575757575757575
22,0.10416666666666667,0.8333333333333334,0.28900293255131965
23,0.015625,1.0,0.5
24,0.19148936170212766,1.0,0.8790123456790123
25,0.05263157894736842,1.0,0.6848484848484849
26,0.017543859649122806,1.0,0.043478260869565216
27,0.4090909090909091,0.8181818181818182,0.4571800584404436
28,0.05357142857142857,0.75,0.5104166666666666
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.3789059174116645
31,0.14814814814814814,0.7272727272727273,0.1202370020551839
32,0.045454545454545456,1.0,0.6428571428571428
33,0.0625,1.0,0.6303986710963455
34,0.08823529411764706,0.5,0.12087719298245614
35,0.14893617021276595,0.875,0.34295579420579414
