,document,query
TF,AugmentedTF,AugmentedTF
IDF,UsingIDF,UsingIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.08333333333333333
2,0.07692307692307693,1.0,0.7
3,0.23529411764705882,1.0,0.4202380952380952
4,0.03125,0.5,0.5
5,0.07317073170731707,1.0,0.24206349206349206
6,0.058823529411764705,0.5,0.125
7,0.07407407407407407,1.0,0.43112244897959184
8,0.03225806451612903,1.0,0.058823529411764705
9,0.05555555555555555,1.0,0.2934782608695652
10,0.09090909090909091,0.8,0.11768868812347073
11,0.08333333333333333,0.75,0.05379464285714286
12,0.16,0.8,0.6142857142857142
13,0.15789473684210525,1.0,0.45335978835978824
14,0.0,0.0,0.0
15,0.14285714285714285,1.0,0.46009896536212325
16,0.06521739130434782,1.0,0.3811936936936937
17,0.06896551724137931,1.0,0.08846153846153847
18,0.15,1.0,0.7575757575757575
19,0.11428571428571428,0.8,0.37478260869565216
20,0.047619047619047616,0.3333333333333333,0.037037037037037035
21,0.45454545454545453,1.0,0.4809523809523809
22,0.3333333333333333,0.3333333333333333,0.19444444444444442
23,0.024390243902439025,1.0,0.5
24,0.5625,1.0,0.8865881032547699
25,0.07692307692307693,0.6666666666666666,0.6666666666666666
26,0.0,0.0,0.0
27,0.525,0.6363636363636364,0.3802352612935219
28,0.13636363636363635,0.75,0.5104166666666666
29,0.0,0.0,0.0
30,0.3,0.3333333333333333,0.3333333333333333
31,0.10526315789473684,0.18181818181818182,0.03333333333333333
32,0.045454545454545456,1.0,0.8333333333333333
33,0.1,1.0,0.7844827586206896
34,0.08823529411764706,0.5,0.08780529755761952
35,0.2,0.25,0.25
