,document,query
TF,LogarithmicTF,LogarithmicTF
IDF,NoIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.08333333333333333
2,0.03389830508474576,1.0,0.6428571428571428
3,0.0851063829787234,1.0,0.6083333333333333
4,0.018518518518518517,0.5,0.125
5,0.046153846153846156,1.0,0.8666666666666667
6,0.058823529411764705,0.5,0.029411764705882353
7,0.0547945205479452,1.0,0.1111111111111111
8,0.01639344262295082,1.0,0.022222222222222223
9,0.03125,1.0,0.027529761904761904
10,0.07352941176470588,1.0,0.18290162218733647
11,0.05172413793103448,0.75,0.06734279918864097
12,0.16,0.8,0.62
13,0.09523809523809523,1.0,0.3518531851745186
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.26392831515782333
16,0.045454545454545456,1.0,0.3782828282828283
17,0.03125,1.0,0.058970099667774084
18,0.15,1.0,0.7380952380952381
19,0.11428571428571428,0.8,0.3238095238095238
20,0.03571428571428571,0.6666666666666666,0.026838432635534083
21,0.1111111111111111,1.0,0.7311111111111112
22,0.10416666666666667,0.8333333333333334,0.26614823348694316
23,0.015625,1.0,0.1
24,0.19148936170212766,1.0,0.9108175774842441
25,0.05263157894736842,1.0,0.35833333333333334
26,0.017543859649122806,1.0,0.08333333333333333
27,0.4090909090909091,0.8181818181818182,0.4232767609860029
28,0.05357142857142857,0.75,0.08969155844155843
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.2628637566137566
31,0.14814814814814814,0.7272727272727273,0.12816754172690425
32,0.045454545454545456,1.0,0.29166666666666663
33,0.0625,1.0,0.08310874092897749
34,0.08823529411764706,0.5,0.05787037037037037
35,0.14893617021276595,0.875,0.23548205266955266
