,document,query
TF,LogarithmicTF,LogarithmicTF
IDF,NoIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06382978723404255,1.0,0.194271911663216
2,0.030303030303030304,1.0,0.41666666666666663
3,0.08333333333333333,1.0,0.6916666666666667
4,0.018518518518518517,0.5,0.5
5,0.039473684210526314,1.0,0.6388888888888888
6,0.047619047619047616,1.0,0.07275132275132275
7,0.05128205128205128,1.0,0.11185224089635853
8,0.014705882352941176,1.0,0.05555555555555555
9,0.029411764705882353,1.0,0.03428571428571429
10,0.07042253521126761,1.0,0.21336700336700337
11,0.05084745762711865,0.75,0.0582584231112331
12,0.14705882352941177,1.0,0.553120953120953
13,0.08695652173913043,1.0,0.638888888888889
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.2881940523244871
16,0.03896103896103896,1.0,0.11772486772486772
17,0.03076923076923077,1.0,0.05555555555555555
18,0.1111111111111111,1.0,0.7192982456140351
19,0.07692307692307693,0.8,0.32166666666666666
20,0.046153846153846156,1.0,0.26556776556776557
21,0.10869565217391304,1.0,0.6888888888888889
22,0.1,0.8333333333333334,0.39528864528864527
23,0.01282051282051282,1.0,0.5
24,0.16666666666666666,1.0,0.8368945868945868
25,0.046153846153846156,1.0,0.16016548463356972
26,0.014285714285714285,1.0,0.038461538461538464
27,0.40540540540540543,0.9090909090909091,0.5823772167234669
28,0.04477611940298507,0.75,0.053562187338278416
29,0.02,1.0,0.038461538461538464
30,0.11538461538461539,0.6666666666666666,0.26697131914523214
31,0.13636363636363635,0.8181818181818182,0.14619794178010215
32,0.030303030303030304,1.0,0.45
33,0.05714285714285714,1.0,0.08598724490836485
34,0.08333333333333333,0.8333333333333334,0.15421205519244732
35,0.1568627450980392,1.0,0.23544588532873018
