,document,query
TF,LogarithmicTF,LogarithmicTF
IDF,NoIDF,NoIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.047619047619047616,0.3333333333333333,0.08333333333333333
2,0.03389830508474576,1.0,0.7
3,0.0851063829787234,1.0,0.6916666666666667
4,0.018518518518518517,0.5,0.25
5,0.046153846153846156,1.0,1.0
6,0.058823529411764705,0.5,0.041666666666666664
7,0.0547945205479452,1.0,0.1603317659352142
8,0.01639344262295082,1.0,0.02857142857142857
9,0.03125,1.0,0.030858676207513418
10,0.07352941176470588,1.0,0.1810647010647011
11,0.05172413793103448,0.75,0.06550505050505051
12,0.16,0.8,0.5888888888888889
13,0.09523809523809523,1.0,0.17876625499576315
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.204630078444487
16,0.045454545454545456,1.0,0.06929181929181928
17,0.03125,1.0,0.0673076923076923
18,0.15,1.0,0.75
19,0.11428571428571428,0.8,0.24666666666666665
20,0.03571428571428571,0.6666666666666666,0.035480859010270774
21,0.1111111111111111,1.0,0.8083333333333332
22,0.10416666666666667,0.8333333333333334,0.1742048554282597
23,0.015625,1.0,0.08333333333333333
24,0.19148936170212766,1.0,0.9415204678362572
25,0.05263157894736842,1.0,0.6879432624113475
26,0.017543859649122806,1.0,0.05555555555555555
27,0.4090909090909091,0.8181818181818182,0.39222234409659096
28,0.05357142857142857,0.75,0.11239035087719297
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.24011338706460655
31,0.14814814814814814,0.7272727272727273,0.13097038692484986
32,0.045454545454545456,1.0,0.75
33,0.0625,1.0,0.09864982578397213
34,0.08823529411764706,0.5,0.03471782978424345
35,0.14893617021276595,0.875,0.28469490068754777
