,document,query
TF,LogarithmicTF,LogarithmicTF
IDF,NoIDF,NoIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06382978723404255,1.0,0.18434343434343434
2,0.030303030303030304,1.0,0.75
3,0.08333333333333333,1.0,0.6083333333333333
4,0.018518518518518517,0.5,0.5
5,0.039473684210526314,1.0,0.5777777777777777
6,0.047619047619047616,1.0,0.06787330316742082
7,0.05128205128205128,1.0,0.19297235023041473
8,0.014705882352941176,1.0,0.08333333333333333
9,0.029411764705882353,1.0,0.039285714285714285
10,0.07042253521126761,1.0,0.15045234958278436
11,0.05084745762711865,0.75,0.060256410256410264
12,0.14705882352941177,1.0,0.545021645021645
13,0.08695652173913043,1.0,0.4445489594946117
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.19822077666905255
16,0.03896103896103896,1.0,0.06503496503496503
17,0.03076923076923077,1.0,0.07272727272727272
18,0.1111111111111111,1.0,0.7222222222222222
19,0.07692307692307693,0.8,0.26372549019607844
20,0.046153846153846156,1.0,0.43006993006993
21,0.10869565217391304,1.0,0.7416666666666666
22,0.1,0.8333333333333334,0.31081632653061225
23,0.01282051282051282,1.0,1.0
24,0.16666666666666666,1.0,0.9056048345264031
25,0.046153846153846156,1.0,0.5737373737373737
26,0.014285714285714285,1.0,0.03333333333333333
27,0.40540540540540543,0.9090909090909091,0.5215791542149419
28,0.04477611940298507,0.75,0.06166666666666667
29,0.02,1.0,0.03225806451612903
30,0.11538461538461539,0.6666666666666666,0.1928932178932179
31,0.13636363636363635,0.8181818181818182,0.16271693154469494
32,0.030303030303030304,1.0,1.0
33,0.05714285714285714,1.0,0.09965277777777778
34,0.08333333333333333,0.8333333333333334,0.07683733890630443
35,0.1568627450980392,1.0,0.2985461906514538
