,document,query
TF,LogarithmicTF,LogarithmicTF
IDF,UsingIDF,UsingIDF
Normalization,NoNormalization,NoNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06382978723404255,1.0,0.27222222222222225
2,0.030303030303030304,1.0,0.14166666666666666
3,0.08333333333333333,1.0,0.5583333333333333
4,0.018518518518518517,0.5,0.5
5,0.039473684210526314,1.0,0.3333333333333333
6,0.047619047619047616,1.0,0.5714285714285714
7,0.05128205128205128,1.0,0.21448275862068966
8,0.014705882352941176,1.0,1.0
9,0.029411764705882353,1.0,0.5344827586206896
10,0.07042253521126761,1.0,0.35911680911680915
11,0.05084745762711865,0.75,0.0490079365079365
12,0.14705882352941177,1.0,0.5819930069930069
13,0.08695652173913043,1.0,0.5991452991452991
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.4671795595708639
16,0.03896103896103896,1.0,0.3998203054806828
17,0.03076923076923077,1.0,0.08166666666666667
18,0.1111111111111111,1.0,0.7222222222222222
19,0.07692307692307693,0.8,0.3792016806722689
20,0.046153846153846156,1.0,0.7192982456140351
21,0.10869565217391304,1.0,0.5547619047619048
22,0.1,0.8333333333333334,0.5383432212700505
23,0.01282051282051282,1.0,1.0
24,0.16666666666666666,1.0,0.9057470307470307
25,0.046153846153846156,1.0,0.6845238095238094
26,0.014285714285714285,1.0,0.02040816326530612
27,0.40540540540540543,0.9090909090909091,0.6301336201066141
28,0.04477611940298507,0.75,0.2232142857142857
29,0.02,1.0,1.0
30,0.11538461538461539,0.6666666666666666,0.20542963510443182
31,0.13636363636363635,0.8181818181818182,0.11743192174618827
32,0.030303030303030304,1.0,0.6428571428571428
33,0.05714285714285714,1.0,0.5018939393939393
34,0.08333333333333333,0.8333333333333334,0.23293029871977242
35,0.1568627450980392,1.0,0.3033543822875719
