,document,query
TF,LogarithmicTF,LogarithmicTF
IDF,UsingIDF,UsingIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06451612903225806,0.6666666666666666,0.20634920634920637
2,0.05,1.0,0.12142857142857143
3,0.21052631578947367,1.0,0.6604166666666667
4,0.02702702702702703,0.5,0.5
5,0.05263157894736842,1.0,0.2853535353535353
6,0.07142857142857142,1.0,0.1588235294117647
7,0.057971014492753624,1.0,0.3855112279025322
8,0.0196078431372549,1.0,1.0
9,0.05263157894736842,1.0,0.2785714285714286
10,0.08695652173913043,0.8,0.3242490842490843
11,0.06976744186046512,0.75,0.04705598455598456
12,0.14705882352941177,1.0,0.592121212121212
13,0.13636363636363635,1.0,0.5055555555555554
14,0.0,0.0,0.0
15,0.11320754716981132,1.0,0.32668650793650794
16,0.05128205128205128,0.6666666666666666,0.3548387096774193
17,0.06666666666666667,1.0,0.10096153846153846
18,0.1111111111111111,1.0,0.7254901960784313
19,0.10526315789473684,0.8,0.3391428571428571
20,0.06818181818181818,1.0,0.7166666666666667
21,0.2777777777777778,1.0,0.588095238095238
22,0.3,0.5,0.5
23,0.018867924528301886,1.0,1.0
24,0.2727272727272727,1.0,0.9191718775052108
25,0.07142857142857142,0.6666666666666666,0.6666666666666666
26,0.0,0.0,0.0
27,0.56,0.8484848484848485,0.5769847890723614
28,0.1111111111111111,0.75,0.225
29,0.02857142857142857,1.0,0.5
30,0.25,0.4444444444444444,0.16512345679012344
31,0.1875,0.5454545454545454,0.08251731572230413
32,0.03389830508474576,1.0,1.0
33,0.0851063829787234,1.0,0.43125
34,0.09615384615384616,0.8333333333333334,0.17421497584541065
35,0.16666666666666666,0.375,0.19270833333333331
