,document,query
TF,null,RawTF
IDF,NoIDF,NoIDF
Normalization,NoNormalization,NoNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06382978723404255,1.0,0.22323232323232323
2,0.030303030303030304,1.0,0.34090909090909094
3,0.08333333333333333,1.0,0.7333333333333333
4,0.018518518518518517,0.5,0.25
5,0.039473684210526314,1.0,0.4555555555555555
6,0.047619047619047616,1.0,0.06084656084656084
7,0.05128205128205128,1.0,0.12476053639846743
8,0.014705882352941176,1.0,0.058823529411764705
9,0.029411764705882353,1.0,0.03101503759398496
10,0.07042253521126761,1.0,0.16063196063196064
11,0.05084745762711865,0.75,0.06429916599408125
12,0.14705882352941177,1.0,0.5386413151119033
13,0.08695652173913043,1.0,0.6183336902977082
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.295096409226844
16,0.03896103896103896,1.0,0.3720800889877642
17,0.03076923076923077,1.0,0.0521680216802168
18,0.1111111111111111,1.0,0.7192982456140351
19,0.07692307692307693,0.8,0.46333333333333326
20,0.046153846153846156,1.0,0.17310924369747901
21,0.10869565217391304,1.0,0.676060606060606
22,0.1,0.8333333333333334,0.28417753417753416
23,0.01282051282051282,1.0,0.5
24,0.16666666666666666,1.0,0.8565434565434565
25,0.046153846153846156,1.0,0.1998480243161094
26,0.014285714285714285,1.0,0.05
27,0.40540540540540543,0.9090909090909091,0.5753466725661927
28,0.04477611940298507,0.75,0.04380760368663594
29,0.02,1.0,0.041666666666666664
30,0.11538461538461539,0.6666666666666666,0.20849420849420852
31,0.13636363636363635,0.8181818181818182,0.1300035271634958
32,0.030303030303030304,1.0,0.25757575757575757
33,0.05714285714285714,1.0,0.07451664876476906
34,0.08333333333333333,0.8333333333333334,0.3778461075209043
35,0.1568627450980392,1.0,0.21739796103080586
