,document,query
TF,RawTF,RawTF
IDF,NoIDF,NoIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06666666666666667,1.0,0.22323232323232323
2,0.030303030303030304,1.0,0.75
3,0.08333333333333333,1.0,0.5666666666666667
4,0.018518518518518517,0.5,0.5
5,0.039473684210526314,1.0,0.7916666666666666
6,0.047619047619047616,1.0,0.06363636363636363
7,0.05128205128205128,1.0,0.17002923976608186
8,0.014705882352941176,1.0,0.125
9,0.029411764705882353,1.0,0.03377659574468085
10,0.07042253521126761,1.0,0.14116604061425095
11,0.05084745762711865,0.75,0.0767359575409111
12,0.14705882352941177,1.0,0.5383928571428571
13,0.08695652173913043,1.0,0.42110541922572
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.16954045058883768
16,0.03896103896103896,1.0,0.06955211024978468
17,0.03076923076923077,1.0,0.050505050505050504
18,0.1111111111111111,1.0,0.7222222222222222
19,0.07692307692307693,0.8,0.25658263305322127
20,0.046153846153846156,1.0,0.2380952380952381
21,0.10869565217391304,1.0,0.8528571428571429
22,0.1,0.8333333333333334,0.2525142597606366
23,0.01282051282051282,1.0,1.0
24,0.16666666666666666,1.0,0.9251543209876544
25,0.046153846153846156,1.0,0.5725047080979284
26,0.014285714285714285,1.0,0.034482758620689655
27,0.40540540540540543,0.9090909090909091,0.4967590052297188
28,0.04477611940298507,0.75,0.05076106689009915
29,0.02,1.0,0.03125
30,0.11538461538461539,0.6666666666666666,0.13982615144937613
31,0.13636363636363635,0.8181818181818182,0.13928949838040747
32,0.030303030303030304,1.0,0.6428571428571428
33,0.05714285714285714,1.0,0.07761292761292762
34,0.08333333333333333,0.8333333333333334,0.08681995392521709
35,0.1568627450980392,1.0,0.22736379984429375
