,document,query
TF,null,RawTF
IDF,UsingIDF,UsingIDF
Normalization,NoNormalization,NoNormalization
Stemming,UsingStemming,UsingStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.06382978723404255,1.0,0.27222222222222225
2,0.030303030303030304,1.0,0.2
3,0.08333333333333333,1.0,0.7095238095238094
4,0.018518518518518517,0.5,0.5
5,0.039473684210526314,1.0,0.625
6,0.047619047619047616,1.0,0.1125
7,0.05128205128205128,1.0,0.13956709956709956
8,0.014705882352941176,1.0,1.0
9,0.029411764705882353,1.0,0.05661881977671451
10,0.07042253521126761,1.0,0.3539799783549783
11,0.05084745762711865,0.75,0.05005411255411255
12,0.14705882352941177,1.0,0.5495454545454546
13,0.08695652173913043,1.0,0.6502136752136752
14,0.0,0.0,0.0
15,0.0821917808219178,1.0,0.3672919672919673
16,0.03896103896103896,1.0,0.31724137931034485
17,0.03076923076923077,1.0,0.08703703703703704
18,0.1111111111111111,1.0,0.7166666666666667
19,0.07692307692307693,0.8,0.43238095238095237
20,0.046153846153846156,1.0,0.7380952380952381
21,0.10869565217391304,1.0,0.7109090909090909
22,0.1,0.8333333333333334,0.5383432212700505
23,0.01282051282051282,1.0,1.0
24,0.16666666666666666,1.0,0.9161255411255412
25,0.046153846153846156,1.0,0.6845238095238094
26,0.014285714285714285,1.0,0.027777777777777776
27,0.40540540540540543,0.9090909090909091,0.5955213730786332
28,0.04477611940298507,0.75,0.11659356725146199
29,0.02,1.0,0.16666666666666666
30,0.11538461538461539,0.6666666666666666,0.3079268292682926
31,0.13636363636363635,0.8181818181818182,0.12039777451441257
32,0.030303030303030304,1.0,0.41666666666666663
33,0.05714285714285714,1.0,0.14446105794790004
34,0.08333333333333333,0.8333333333333334,0.275297619047619
35,0.1568627450980392,1.0,0.30718960956029917
